store_name,store_code,store_location,store_category,store_PriceCategory
Elephant Polo,NA-IMM0014,Emerald Mall,Men's Fashion,Premium
Jewels Galore,IMM00242,Emerald Mall,Jewellery,Premium
La Roma,IMM00025,Emerald Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Ny Shirts,IMM00051,Emerald Mall,Men's Fashion,Premium
Chu'S Special,IMA00042,Diamond Mall,Food & Beverage,Value
Momo World,IMA00048,Diamond Mall,Food & Beverage,Value
Anita'S,IMA00002,Diamond Mall,Women's Fashion,Premium
Fresh Waves,NA-IMM0098,Emerald Mall,Women's Fashion,Value
Engine Denims,IMA00078,Diamond Mall,"Women's Fashion,Men's Fashion",Value
Striped Candies,IMM00248,Emerald Mall,Food & Beverage,Value
Indian Ayurveda,IMM00026,Emerald Mall,Beauty & Grooming,Premium
Jasmeet Ethnic,IMA00004,Diamond Mall,Women's Fashion,Premium
Diamond Parking,IMM00249,Emerald Mall,NA,Value
Henri Salon,IMM00237,Emerald Mall,Beauty & Grooming,Premium
Pathfinder Test Store,TSS,Emerald Mall,NA,Value
Wallace Milkshakes,IMA00076,Diamond Mall,Food & Beverage,Value
Maximum,IMA00083,Diamond Mall,"Women's Fashion,Men's Fashion",Value
Frozen Milk,IMM00232,Emerald Mall,Food & Beverage,Value
Home & Kitchen,IMM00234,Emerald Mall,Home & Lifestyle,Premium
Engine Denims,IMM00125,Emerald Mall,"Women's Fashion,Men's Fashion",Value
Maximum,NA-IMM0069,Emerald Mall,"Women's Fashion,Men's Fashion",Value
Xyz,IMA00084,Diamond Mall,Women's Fashion,Premium
Handcrafted,IMM00230,Emerald Mall,Electronics,Premium
Emerald Parking,IMA00089,Diamond Mall,NA,Value
Juicy Juices,IMM00030,Emerald Mall,Food & Beverage,Value
Fresh Waves,IMA00085,Diamond Mall,Women's Fashion,Value
Elephant Polo,IMM00070,Emerald Mall,Men's Fashion,Premium
Mahotsav,IMM00032,Emerald Mall,Women's Fashion,Premium
The Rainbow Bar,IMM00229,Emerald Mall,Accessories,Value
Chromatic,IMM00227,Emerald Mall,Electronics,Premium
King George V,IMM00034,Emerald Mall,Men's Fashion,Premium
Beagles & Hounds,IMM00236,Emerald Mall,Men's Fashion,Premium
Mother'S Baby,IMM00036,Emerald Mall,Kids Fashion,Premium
London Eyewear,IMM00035,Emerald Mall,"Accessories,Women's Fashion,Men's Fashion",Value
Griller,IMM00065,Emerald Mall,"Food & Beverage,Grocery & Household",Value
Lorenzo'S Rosso,IMM00050,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
31 Flavours,IMM00172,Emerald Mall,Food & Beverage,Premium
Specstore,IMM00233,Emerald Mall,Accessories,Premium
Checks Sneakers,IMM00052,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
American Stripes,IMM00048,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Heathrow Denims,IMM00011,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Luxeindulge,IMM00235,Emerald Mall,NA,Premium
Italian Run,IMM00243,Emerald Mall,Sports & Fitness,Premium
Live Life Bags,IMM00009,Emerald Mall,"Accessories,Women's Fashion",Premium
Dulha Ethnics,IMM00012,Emerald Mall,Men's Fashion,Premium
Wild Wild West,IMM00054,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Fresh Waves,IMM00238,Emerald Mall,Women's Fashion,Value
Latte World,IMM00087,Emerald Mall,Food & Beverage,Premium
Yoggy Yoggy,IMA00051,Diamond Mall,Food & Beverage,Value
Jasmeet Ethnic,IMM00058,Emerald Mall,Women's Fashion,Premium
Das Shoes,IMM00003,Emerald Mall,"Accessories,Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Maximum,IMM00239,Emerald Mall,"Women's Fashion,Men's Fashion",Value
Bags & Wallets,IMM00019,Emerald Mall,"Accessories,Women's Fashion",Value
All Cotton Apparels,IMM00024,Emerald Mall,"Women's Fashion,Men's Fashion",Value
Rang Bi Rangi,IMM00029,Emerald Mall,Women's Fashion,Value
Adam Luggage,IMM00021,Emerald Mall,Travel,Premium
Dummy Store,IMM9999,Emerald Mall,NA,Value
Indian Fusion,IMM00004,Emerald Mall,Women's Fashion,Premium
Weekends,IMM00031,Emerald Mall,Gifts & Toys,Value
Hike Camp,IMM00063,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Gameon!,IMM00076,Emerald Mall,"Electronics,Entertainment & Leisure",Premium
Triage Sportswear,IMM00006,Emerald Mall,"Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Jack&Jill,IMM00028,Emerald Mall,Kids Fashion,Premium
Jhoom,IMM00037,Emerald Mall,Men's Fashion,Premium
The Malnad Coast,IMM00112,Emerald Mall,Food & Beverage,Value
Amore,IMM00146,Emerald Mall,Food & Beverage,Value
Panjab De Paranthe,IMM00039,Emerald Mall,Food & Beverage,Value
Momo World,IMM00150,Emerald Mall,Food & Beverage,Value
Bond Street,IMM00041,Emerald Mall,Men's Fashion,Premium
Khaki Fridays,IMM00018,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Indian Traditions,IMM00130,Emerald Mall,"Women's Fashion,Men's Fashion",Value
Malibu Sunglass City,IMM00047,Emerald Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Marathon Sports,IMM00038,Emerald Mall,"Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Yoggy Yoggy,IMM00142,Emerald Mall,Food & Beverage,Value
Triage Sportswear,TEST0001,Emerald Mall,NA,Premium
John Smith ,IMM00043,Emerald Mall,Men's Fashion,Value
Crystal Homeware,IMM00044,Emerald Mall,Home & Lifestyle,Premium
Quill & Ink,IMM00088,Emerald Mall,"Books and Stationery,Gifts & Toys",Premium
Butler ,IMM00045,Emerald Mall,Men's Fashion,Premium
Catwalk Fashion,NA-IMA0035,Diamond Mall,Women's Fashion,Premium
John Smith ,IMA00049,Diamond Mall,Men's Fashion,Premium
American Stripes For Kids,IMM00049,Emerald Mall,Kids Fashion,Premium
Jhoom,IMA00009,Diamond Mall,Men's Fashion,Premium
Twinkling Toes,IMA00019,Diamond Mall,Women's Fashion,Value
L'Paris,IMM00057,Emerald Mall,Men's Fashion,Premium
Indian Fusion,IMA00005,Diamond Mall,Women's Fashion,Premium
Stephanie'S,IMM00059,Emerald Mall,"Accessories,Women's Fashion",Value
Sandwich Galaxy,IMA00044,Diamond Mall,Food & Beverage,Value
Dulha Ethnics,IMA00077,Diamond Mall,Men's Fashion,Premium
Swiss Alps,IMA00035,Diamond Mall,Travel,Premium
Ayesha,IMM00001,Emerald Mall,"Accessories,Jewellery,Women's Fashion",Value
Workshoes,IMM00084,Emerald Mall,"Women's Fashion,Men's Fashion",Value
Celery,IMM00228,Emerald Mall,Women's Fashion,Value
Quay Footwear,IMM00145,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Lens Opticals,IMM00111,Emerald Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Haiku Lingerie,IMM00010,Emerald Mall,Women's Fashion,Premium
Steelcase House,IMM00005,Emerald Mall,Travel,Premium
Baby Baby ,IMM00007,Emerald Mall,Kids Fashion,Premium
The Yoga Studio,IMM00015,Emerald Mall,"Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Donutworld,IMM00016,Emerald Mall,Food & Beverage,Value
Sprinkles,IMM00017,Emerald Mall,"Accessories,Jewellery,Women's Fashion",Premium
Twinkling Toes,IMM00022,Emerald Mall,Women's Fashion,Value
Candy Crush,IMM00090,Emerald Mall,Food & Beverage,Value
Sweet Cane Juices,NA-IMA0059,Diamond Mall,NA,Value
Shan San,IMM00231,Emerald Mall,Food & Beverage,Value
Lal Mahal Kebabs,IMM00060,Emerald Mall,Food & Beverage,Value
Lal Mahal,IMM00061,Emerald Mall,Food & Beverage,Premium
Fragrance World,IMM00062,Emerald Mall,Beauty & Grooming,Premium
Zardozi,IMM00064,Emerald Mall,Women's Fashion,Premium
Oscar,IMM00066,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Oscar Accessories,IMM00067,Emerald Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Angels Lingerie,IMM00068,Emerald Mall,Women's Fashion,Premium
Yin & Yang Footwear,IMM00071,Emerald Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Pretty A La Mode,IMM00072,Emerald Mall,Women's Fashion,Premium
Timeless Luxuries,IMM00073,Emerald Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Designyourown,IMM00074,Emerald Mall,Men's Fashion,Premium
Fabric En Inde,IMM00075,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Faloodas & More,IMM00077,Emerald Mall,Food & Beverage,Value
Steelcase Business,IMM00078,Emerald Mall,Travel,Premium
Belts & More (Women),IMM00080,Emerald Mall,"Accessories,Women's Fashion",Value
Cocoa Bean ,IMM00081,Emerald Mall,Food & Beverage,Premium
Chronology In Time,IMM00082,Emerald Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Rubies Online.Com,IMM00083,Emerald Mall,Jewellery,Premium
Gloss In A Pot,IMM00089,Emerald Mall,Beauty & Grooming,Value
Sidewalk Shoes,IMM00092,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Bean & Bud ,IMM00093,Emerald Mall,Food & Beverage,Premium
Guardwell Pharma,IMM00094,Emerald Mall,Health & Wellness,Value
Lips And Cheeks,IMM00095,Emerald Mall,Beauty & Grooming,Value
Jupiter Opticals,IMM00096,Emerald Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Ami'S Bling,IMM00097,Emerald Mall,Jewellery,Premium
Nyt,IMM00098,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Cuffs,IMM00099,Emerald Mall,Men's Fashion,Premium
Melwin Jeans,IMM00100,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Melwin Under,IMM00101,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Melwin Black Lable,IMM00102,Emerald Mall,Men's Fashion,Premium
Giant,IMM00103,Emerald Mall,Men's Fashion,Premium
American University,IMM00104,Emerald Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Waves,IMM00105,Emerald Mall,Men's Fashion,Premium
Venus World,IMM00106,Emerald Mall,Beauty & Grooming,Premium
Kookie Kids,IMM00107,Emerald Mall,Kids Fashion,Premium
Horseplay,IMM00108,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Apleny,IMM00109,Emerald Mall,"Kids Fashion,Women's Fashion,Men's Fashion",Value
All-In-One,IMM00113,Emerald Mall,Home & Lifestyle,Value
Greenberry Men'S,IMM00114,Emerald Mall,Men's Fashion,Premium
John & Jane,IMM00115,Emerald Mall,Men's Fashion,Premium
Denims,IMM00116,Emerald Mall,Women's Fashion,Premium
Elena Angelina,IMM00117,Emerald Mall,Women's Fashion,Premium
Bling N Sparkle Ladies Bags,IMM00119,Emerald Mall,"Accessories,Women's Fashion",Premium
Indian Filter Coffee,IMM00120,Emerald Mall,Food & Beverage,Value
Biscuit Maker,IMM00121,Emerald Mall,Food & Beverage,Premium
Mary Janes,IMM00127,Emerald Mall,"Women's Fashion,Men's Fashion",Value
Fried Wings,IMM00131,Emerald Mall,Food & Beverage,Value
Thai Spa,IMM00132,Emerald Mall,Health & Wellness,Premium
Royal Burgers,IMM00134,Emerald Mall,Food & Beverage,Value
Chu'S Special,IMM00135,Emerald Mall,Food & Beverage,Value
Hoop Loop Cocktail Bar,IMM00136,Emerald Mall,Food & Beverage,Value
The Great Wall Of China,IMM00137,Emerald Mall,Food & Beverage,Premium
Rich Mane Salon,IMM00138,Emerald Mall,Beauty & Grooming,Premium
Indian Skin Clinic,IMM00139,Emerald Mall,Health & Wellness,Premium
Wallace Milkshakes,IMM00141,Emerald Mall,Food & Beverage,Value
Glossy Shoes,IMM00144,Emerald Mall,Women's Fashion,Premium
Leo,IMM00147,Emerald Mall,Men's Fashion,Premium
San Diego Sports,IMM00148,Emerald Mall,"Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Superpower World,IMM00149,Emerald Mall,Gifts & Toys,Premium
Chicago Pizza,IMM00151,Emerald Mall,Food & Beverage,Premium
Sweet Sixteen,IMM00155,Emerald Mall,Women's Fashion,Premium
Feline Sports,IMM00159,Emerald Mall,"Sports & Fitness,Women's Fashion,Men's Fashion",Premium
La Pot Dinnerware,IMM00160,Emerald Mall,Home & Lifestyle,Premium
Arabic Treats,IMM00161,Emerald Mall,Food & Beverage,Value
Headdress ,IMM00162,Emerald Mall,"Accessories,Women's Fashion",Value
Copacabana,IMM00163,Emerald Mall,"Women's Fashion,Men's Fashion",Super Premium
Clogs,IMM00164,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Win Mobiles,IMM00165,Emerald Mall,Electronics,Value
Faded Denims,IMM00166,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Tin Soldiers,IMM00167,Emerald Mall,Gifts & Toys,Premium
Monica Bling,IMM00168,Emerald Mall,"Kids Fashion,Women's Fashion,Men's Fashion",Premium
Tokya University,IMM00169,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Bumpy Rides,IMM00170,Emerald Mall,Entertainment & Leisure,Value
Choco Stix,IMM00171,Emerald Mall,Food & Beverage,Value
The Royal Thali,IMM00173,Emerald Mall,Food & Beverage,Premium
Desi Bhangra,IMM00174,Emerald Mall,Food & Beverage,Value
Platter From China,IMM00177,Emerald Mall,Food & Beverage,Value
Squeezy Juices,IMM00178,Emerald Mall,Food & Beverage,Value
All,IMM00179,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Catwalk Fashion,IMM00180,Emerald Mall,Women's Fashion,Premium
Comfort Innerwear,IMM00181,Emerald Mall,"Women's Fashion,Men's Fashion",Value
The Original Denim,IMM00182,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Streetside Store,IMM00183,Emerald Mall,"Kids Fashion,Accessories,Women's Fashion,Men's Fashion",Premium
Mica London,IMM00184,Emerald Mall,Women's Fashion,Premium
Racquet,IMM00185,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Jeff & Bridges Lingerie,IMM00186,Emerald Mall,Women's Fashion,Premium
Plantorganics,IMM00187,Emerald Mall,Beauty & Grooming,Premium
Layla,IMM00189,Emerald Mall,Women's Fashion,Premium
Maha Bazaar,IMM00190,Emerald Mall,"Electronics,Kids Fashion,Accessories,Grocery & Household,Home & Lifestyle,Women's Fashion,Men's Fashion,Books and Stationery,Gifts & Toys",Value
Garage World,IMM00191,Emerald Mall,Electronics,Premium
Jeff & Bridges,IMM00192,Emerald Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Fashionz,IMM00194,Emerald Mall,"Accessories,Women's Fashion,Men's Fashion",Value
Shringaar Nail Art,IMM00195,Emerald Mall,Beauty & Grooming,Value
Taylor Star,IMM00196,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Electronics Galore,IMM00197,Emerald Mall,Electronics,Premium
Foot Galore,IMM00198,Emerald Mall,"Women's Fashion,Men's Fashion",Value
Jet Mukhwas,IMM00199,Emerald Mall,Food & Beverage,Value
Cinestar Word,IMM00200,Emerald Mall,Entertainment & Leisure,Value
Dots Dash Pizza,IMM00201,Emerald Mall,Food & Beverage,Value
Bombay Rolls,IMM00203,Emerald Mall,Food & Beverage,Value
Bollywood Makeup,IMM00204,Emerald Mall,Beauty & Grooming,Premium
Kadhai ,IMM00205,Emerald Mall,Food & Beverage,Value
Wuffles,IMM00206,Emerald Mall,Food & Beverage,Value
David Paddington,IMM00207,Emerald Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Duel,IMM00208,Emerald Mall,Women's Fashion,Value
Big & Small,IMM00210,Emerald Mall,Home & Lifestyle,Value
3Rd Dimension,IMM00211,Emerald Mall,"Accessories,Women's Fashion,Men's Fashion",Value
Sandwich Galaxy,IMM00212,Emerald Mall,Food & Beverage,Value
Sixer,IMM00213,Emerald Mall,"Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Florence,IMM00214,Emerald Mall,Men's Fashion,Premium
Rockies ,IMM00215,Emerald Mall,"Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Goth ,IMM00216,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Sweet Secrets,IMM00219,Emerald Mall,Women's Fashion,Premium
Aliya,IMM00220,Emerald Mall,"Jewellery,Gifts & Toys",Premium
Gateway Of India,IMM00221,Emerald Mall,"Accessories,Gifts & Toys",Premium
My Secret,IMM00223,Emerald Mall,Women's Fashion,Premium
Sprinkles,IMA00001,Diamond Mall,"Accessories,Jewellery,Women's Fashion",Premium
Steelcase House,IMA00003,Diamond Mall,Travel,Premium
Rang Bi Rangi,IMA00006,Diamond Mall,Women's Fashion,Value
Das Shoes,IMA00007,Diamond Mall,"Accessories,Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Triage Sportswear,IMA00011,Diamond Mall,"Sports & Fitness,Women's Fashion,Men's Fashion",Premium
Chronology In Time,IMA00015,Diamond Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Juicer,IMA00017,Diamond Mall,Food & Beverage,Value
Pretty A La Mode,IMA00021,Diamond Mall,Women's Fashion,Premium
Latte World,IMA00022,Diamond Mall,Food & Beverage,Premium
American Stripes,IMA00024,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Xyz,IMM00222,Emerald Mall,Women's Fashion,Premium
Jack Beanstalk,IMM00217,Emerald Mall,"Women's Fashion,Men's Fashion",Premium
Lal Mahal,IMA00026,Diamond Mall,Food & Beverage,Premium
Denims,IMA00028,Diamond Mall,Women's Fashion,Premium
Elena Angelina,IMA00029,Diamond Mall,Women's Fashion,Premium
Horseplay,IMA00030,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Krafted Shoes,IMA00032,Diamond Mall,"Women's Fashion,Men's Fashion",Value
Indian Filter Coffee,IMA00033,Diamond Mall,Food & Beverage,Value
Jupiter Opticals,IMA00037,Diamond Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Royal Burgers,IMA00047,Diamond Mall,Food & Beverage,Value
Abhinetri Luxe,IMA00050,Diamond Mall,Beauty & Grooming,Premium
The Malnad Coast,IMA00027,Diamond Mall,Food & Beverage,Value
Pouch Babywear,IMA00043,Diamond Mall,Kids Fashion,Premium
Grains & More,IMA00052,Diamond Mall,Grocery & Household,Value
Digiitized World,IMA00053,Diamond Mall,"Electronics,Entertainment & Leisure",Value
The Original Denim,IMA00054,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Pants & More,IMA00057,Diamond Mall,"Kids Fashion,Accessories,Women's Fashion,Men's Fashion",Value
Chiang Mai Foot Spa,IMA00058,Diamond Mall,Health & Wellness,Premium
Pan & Spatula,IMA00045,Diamond Mall,Home & Lifestyle,Premium
Red Stripes Ice Cream Kiosk,IMA00056,Diamond Mall,Food & Beverage,Value
T Mobiles,IMA00059,Diamond Mall,Electronics,Value
Ajay Electronics,IMA00060,Diamond Mall,Electronics,Premium
Streetside Store,IMA00061,Diamond Mall,"Kids Fashion,Accessories,Women's Fashion,Men's Fashion",Premium
31 Flavours,IMA00069,Diamond Mall,Food & Beverage,Premium
Dots Dash Pizza,IMA00031,Diamond Mall,Food & Beverage,Value
Platter From China,IMA00016,Diamond Mall,Food & Beverage,Value
Faloodas & More,IMA00018,Diamond Mall,Food & Beverage,Value
Bombay Rolls,IMA00063,Diamond Mall,Food & Beverage,Value
Wuffles,IMA00064,Diamond Mall,Food & Beverage,Value
Choco Stix,IMA00072,Diamond Mall,Food & Beverage,Value
Bumpy Rides,IMA00073,Diamond Mall,Entertainment & Leisure,Value
Striped Candies,IMA00071,Diamond Mall,Food & Beverage,Value
Sweet Cane Juices,IMA00074,Diamond Mall,Food & Beverage,Value
Fried Wings,IMA00065,Diamond Mall,Food & Beverage,Value
Wide Hat Pizza,IMA00066,Diamond Mall,Food & Beverage,Value
Win Mobiles,IMA00067,Diamond Mall,Electronics,Value
Haiku Lingerie,IMA00068,Diamond Mall,Women's Fashion,Premium
Heathrow Denims,IMA00008,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
HaHa Cosmetics,IMA00036,Diamond Mall,Beauty & Grooming,Premium
Jhumkis & More,IMA00040,Diamond Mall,"Accessories,Jewellery",Value
Waffle It Down,IMA00046,Diamond Mall,Food & Beverage,Value
Hypercoaster 12D,NA-IMA0001,Diamond Mall,NA,Value
One Small Peg,NA-IMA0002,Diamond Mall,NA,Value
5D Rider,NA-IMA0003,Diamond Mall,NA,Value
Python,NA-IMA0004,Diamond Mall,NA,Value
Belts & More (Men),NA-IMA0005,Diamond Mall,"Accessories,Men's Fashion",Value
Belts & More (Women),NA-IMA0006,Diamond Mall,"Accessories,Women's Fashion",Value
Oscar,NA-IMA0007,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
All,NA-IMA0008,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Khaki Fridays,NA-IMA0009,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Amore,NA-IMA0010,Diamond Mall,Food & Beverage,Premium
Anita Jaipur,NA-IMA0011,Diamond Mall,NA,Premium
Jughead,NA-IMA0012,Diamond Mall,NA,Value
Milano Jeans,NA-IMA0013,Diamond Mall,NA,Premium
Cuffs,NA-IMA0014,Diamond Mall,Men's Fashion,Premium
Ayesha,NA-IMA0015,Diamond Mall,"Accessories,Jewellery,Women's Fashion",Value
Bags & Wallets,NA-IMA0016,Diamond Mall,"Accessories,Women's Fashion",Value
Mary Janes,NA-IMA0018,Diamond Mall,"Women's Fashion,Men's Fashion",Value
Homosapiens,NA-IMA0019,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Elephant Polo,NA-IMA0020,Diamond Mall,Men's Fashion,Premium
Maha Bazaar,NA-IMA0021,Diamond Mall,"Electronics,Kids Fashion,Accessories,Grocery & Household,Home & Lifestyle,Women's Fashion,Men's Fashion,Books and Stationery,Gifts & Toys",Value
Greenberry Men'S,NA-IMA0022,Diamond Mall,Men's Fashion,Premium
Mumbai Waves,NA-IMA0023,Diamond Mall,NA,Premium
Tubs & Grubs,NA-IMA0024,Diamond Mall,NA,Value
Cafe Platter,NA-IMA0025,Diamond Mall,NA,Premium
Cafe Telaviv,NA-IMA0026,Diamond Mall,NA,Premium
Bay Side Pizza,NA-IMA0027,Diamond Mall,Food & Beverage,Premium
Melwin Jeans,NA-IMA0028,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Lollipops,NA-IMA0029,Diamond Mall,NA,Value
L'Paris,NA-IMA0030,Diamond Mall,Men's Fashion,Premium
Beauty Palete,NA-IMA0031,Diamond Mall,NA,Value
Cinestar Word,NA-IMA0032,Diamond Mall,Entertainment & Leisure,Value
Quay Footwear,NA-IMA0033,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Biscuit Maker,NA-IMA0034,Diamond Mall,Food & Beverage,Premium
Clogs,NA-IMA0036,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Khalifa Jewels,NA-IMA0037,Diamond Mall,NA,Premium
Jumpin Beans,NA-IMA0039,Diamond Mall,NA,Value
Gizmo World,NA-IMA0040,Diamond Mall,NA,Value
Indian Traditions,NA-IMA0041,Diamond Mall,"Women's Fashion,Men's Fashion",Value
Fabric En Inde,NA-IMA0042,Diamond Mall,"Women's Fashion,Men's Fashion",Premium
Arabic Treats,NA-IMA0043,Diamond Mall,Food & Beverage,Value
Chic Bazaar,NA-IMA0045,Diamond Mall,NA,Value
Young Lady,NA-IMA0046,Diamond Mall,NA,Premium
Sweet Sixteen,NA-IMA0047,Diamond Mall,Women's Fashion,Premium
Gameon!,NA-IMA0048,Diamond Mall,"Electronics,Entertainment & Leisure",Premium
American University,NA-IMA0049,Diamond Mall,"Accessories,Women's Fashion,Men's Fashion",Premium
Jack&Jill,NA-IMA0050,Diamond Mall,Kids Fashion,Premium
Susan'S Coffee,NA-IMA0051,Diamond Mall,NA,Value
Glossy Shoes,NA-IMA0052,Diamond Mall,Women's Fashion,Premium
Tin Soldiers,NA-IMA0053,Diamond Mall,Gifts & Toys,Premium
Juicy Juices,NA-IMA0054,Diamond Mall,Food & Beverage,Value
Guardwell Pharma,NA-IMA0055,Diamond Mall,Health & Wellness,Value
